"番号","月日","東京の気圧","前日の福岡の気圧"
"1","5/7","1019.4","1018.4"
"2","5/8","1005.7","1007.6"
"3","5/9","1002.0","1006.2"
"4","5/10","1006.7","1009.9"
"5","5/11","1005.1","1010.8"
"6","5/12","1010.1","1013.2"
"7","5/13","1016.7","1016.2"
"8","5/14","1011.0","1009.1"
"9","5/15","999.5","1003.1"
"10","5/16","1006.9","1012.5"
"11","5/17","1001.9","1006.4"
"12","5/18","1007.5","1006.3"
"13","5/19","1014.4","1012.2"
"14","5/20","1014.3","1015.0"
"15","5/21","1014.6","1017.4"
"16","5/22","1009.0","1016.5"
"17","5/23","1006.7","1012.1"
"18","5/24","1009.4","1008.7"
"19","5/25","1011.8","1009.2"
"20","5/26","1009.4","1009.2"
